billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
91,I Like It,Sammie,2000,deep pop r&b,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']",27.0,Solo
91,I Like It,Sammie,2000,deep pop r&b,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']",58.0,Solo
91,I Like It,Sammie,2000,deep pop r&b,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']",1.0,Solo
92,24/7,Kevon Edmonds,2000,new jack swing,"['new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",,
93,Girl on TV,LFO,2000,boy band,['boy band'],46.0,Solo
94,Bounce with Me,Lil' Bow Wow,2000,,,,
94,Bounce with Me,Xscape,2000,atl hip hop,"['atl hip hop', 'dance pop', 'deep pop r&b', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",,
95,Cowboy Take Me Away,Dixie Chicks,2000,contemporary country,"['contemporary country', 'country', 'country dawn']",65.0,Solo
96,I Don't Wanna,Aaliyah,2000,dance pop,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",56.0,Solo
96,I Don't Wanna,Aaliyah,2000,-,[],56.0,Solo
97,Independent Women Part I,Destiny's Child,2000,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",,
98,Gotta Tell You,Samantha Mumba,2000,australian pop,"['australian pop', 'bubblegum dance', 'dance pop', 'europop']",38.0,Solo
99,Waiting for Tonight,Jennifer Lopez,2000,dance pop,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",55.0,Solo
100,Shackles (Praise You),Mary Mary,2000,gospel,"['gospel', 'gospel r&b', 'neo soul', 'r&b', 'urban contemporary']",55.0,Solo
1,Hanging by a Moment,Lifehouse,2001,alternative metal,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",59.0,Solo
2,Fallin',Alicia Keys,2001,hip pop,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",72.0,Solo
3,All for You,Janet Jackson,2001,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'urban contemporary']",61.0,Solo
3,All for You,Janet Jackson,2001,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'urban contemporary']",57.0,Solo
4,Drops of Jupiter (Tell Me),Train,2001,neo mellow,"['neo mellow', 'pop', 'pop rock']",13.0,Solo
5,I'm Real,Jennifer Lopez,2001,dance pop,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",23.0,Solo
5,I'm Real,Ja Rule,2001,dance pop,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",23.0,Solo
6,If You're Gone,Matchbox Twenty,2001,neo mellow,"['neo mellow', 'pop rock', 'post-grunge']",63.0,Solo
7,Let Me Blow Ya Mind,Eve,2001,dance pop,"['dance pop', 'hip hop', 'hip pop', 'philly rap', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",,
7,Let Me Blow Ya Mind,Gwen Stefani,2001,dance pop,"['dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop']",,
8,Thank You,Dido,2001,dance pop,"['dance pop', 'new wave pop', 'pop rock']",35.0,Solo
8,Thank You,Dido,2001,dance pop,"['dance pop', 'new wave pop', 'pop rock']",67.0,Solo
8,Thank You,Dido,2001,dance pop,"['dance pop', 'new wave pop', 'pop rock']",33.0,Solo
8,Thank You,Dido,2001,dance pop,"['dance pop', 'new wave pop', 'pop rock']",6.0,Solo
8,Thank You,Dido,2001,dance pop,"['dance pop', 'new wave pop', 'pop rock']",30.0,Collaboration
9,Again,Lenny Kravitz,2001,permanent wave,"['permanent wave', 'pop rock', 'rock']",64.0,Solo
9,Again,Lenny Kravitz,2001,permanent wave,"['permanent wave', 'pop rock', 'rock']",30.0,Solo
9,Again,Lenny Kravitz,2001,permanent wave,"['permanent wave', 'pop rock', 'rock']",63.0,Solo
9,Again,Lenny Kravitz,2001,permanent wave,"['permanent wave', 'pop rock', 'rock']",56.0,Solo
10,Independent Women Part I,Destiny's Child,2001,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",,
11,Hit 'Em Up Style (Oops!),Blu Cantrell,2001,hip pop,"['hip pop', 'r&b', 'urban contemporary']",53.0,Solo
12,It Wasn't Me,Shaggy,2001,dance pop,"['dance pop', 'pop rap', 'reggae fusion']",75.0,Collaboration
12,It Wasn't Me,Rikrok,2001,,,75.0,Collaboration
13,Stutter,Joe,2001,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",37.0,Solo
