song_id,song_name,year,ranking,artist_name,artist_position,artist_role,word_count,artist_genre,artist_genres,match_method
2854,The A Team,2013,75,Ed Sheeran,1,primary,365.0,pop,"['pop', 'uk pop']",artist_name
2855,The Best Day,2000,80,George Strait,1,primary,305.0,contemporary country,"['contemporary country', 'country', 'country road']",artist_name
2856,The Bigger Picture,2020,76,Lil Baby,1,primary,1199.0,atl hip hop,"['atl hip hop', 'atl trap', 'rap', 'trap music']",artist_name
2857,The Bones,2020,9,Maren Morris,1,primary,346.0,contemporary country,['contemporary country'],artist_name
2858,The Boss,2008,84,Rick Ross,1,primary,771.0,dirty south rap,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",artist_name
2859,The Boss,2008,84,T-Pain,1,primary,771.0,dance pop,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",artist_name
2860,The Box,2020,3,Roddy Ricch,1,primary,561.0,rap,"['rap', 'southern hip hop', 'trap music']",artist_name
2861,The Climb,2009,21,Miley Cyrus,1,primary,290.0,dance pop,"['dance pop', 'pop', 'post-teen pop']",artist_name
2862,The Edge of Glory,2011,29,Lady Gaga,1,primary,462.0,dance pop,"['dance pop', 'pop']",artist_name
2863,The Fighter,2017,100,Carrie Underwood,1,primary,435.0,contemporary country,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']",artist_name
2864,The Fighter,2017,100,Keith Urban,1,primary,435.0,australian country,"['australian country', 'contemporary country', 'country', 'country road']",artist_name
2865,The First Cut Is the Deepest,2004,28,Sheryl Crow,1,primary,278.0,folk-pop,"['folk-pop', 'lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'singer-songwriter']",artist_name
2866,The Fox (What Does the Fox Say?),2013,73,Ylvis,1,primary,377.0,comic,['comic'],artist_name
2867,The Game of Love,2003,27,Michelle Branch,1,primary,390.0,candy pop,"['candy pop', 'dance pop', 'folk-pop', 'lilith', 'neo mellow', 'pop rock']",artist_name
2868,The Game of Love,2003,27,Santana,1,primary,390.0,blues-rock,"['blues-rock', 'classic rock', 'rock']",artist_name
2869,The Git Up,2019,56,Blanco Brown,1,primary,599.0,,,artist_name
2870,The Good Ones,2021,62,Gabby Barrett,1,primary,327.0,,,artist_name
