from,to,weight,year
acoustic blues,electric blues,0,2004
acoustic blues,electric blues,0,2005
acoustic blues,electric blues,0,2006
acoustic blues,electric blues,0,2007
acoustic blues,electric blues,0,2008
acoustic blues,electric blues,0,2009
acoustic blues,electric blues,0,2010
acoustic blues,electric blues,0,2011
acoustic blues,electric blues,0,2012
acoustic blues,electric blues,0,2013
acoustic blues,electric blues,0,2014
acoustic blues,electric blues,0,2015
acoustic blues,electric blues,0,2016
acoustic blues,electric blues,0,2017
acoustic blues,electric blues,0,2018
acoustic blues,electric blues,0,2019
acoustic blues,electric blues,0,2020
acoustic blues,electric blues,0,2021
acoustic blues,electric blues,0,2022
acoustic blues,electric blues,0,2023
acoustic blues,harmonica blues,0,2000
acoustic blues,harmonica blues,0,2001
acoustic blues,harmonica blues,0,2002
acoustic blues,harmonica blues,0,2003
acoustic blues,harmonica blues,0,2004
acoustic blues,harmonica blues,0,2005
acoustic blues,harmonica blues,0,2006
acoustic blues,harmonica blues,0,2007
acoustic blues,harmonica blues,0,2008
acoustic blues,harmonica blues,0,2009
acoustic blues,harmonica blues,0,2010
acoustic blues,harmonica blues,0,2011
acoustic blues,harmonica blues,0,2012
acoustic blues,harmonica blues,0,2013
acoustic blues,harmonica blues,0,2014
acoustic blues,harmonica blues,0,2015
acoustic blues,harmonica blues,0,2016
acoustic blues,harmonica blues,0,2017
acoustic blues,harmonica blues,0,2018
acoustic blues,harmonica blues,0,2019
acoustic blues,harmonica blues,0,2020
acoustic blues,harmonica blues,0,2021
acoustic blues,harmonica blues,0,2022
acoustic blues,harmonica blues,0,2023
acoustic blues,modern blues,0,2000
acoustic blues,modern blues,0,2001
acoustic blues,modern blues,0,2002
acoustic blues,modern blues,0,2003
acoustic blues,modern blues,0,2004
acoustic blues,modern blues,0,2005
acoustic blues,modern blues,0,2006
acoustic blues,modern blues,0,2007
acoustic blues,modern blues,0,2008
acoustic blues,modern blues,0,2009
acoustic blues,modern blues,0,2010
acoustic blues,modern blues,0,2011
acoustic blues,modern blues,0,2012
acoustic blues,modern blues,0,2013
acoustic blues,modern blues,0,2014
acoustic blues,modern blues,0,2015
acoustic blues,modern blues,0,2016
acoustic blues,modern blues,0,2017
acoustic blues,modern blues,0,2018
acoustic blues,modern blues,0,2019
acoustic blues,modern blues,0,2020
acoustic blues,modern blues,0,2021
acoustic blues,modern blues,0,2022
acoustic blues,modern blues,0,2023
acoustic blues,piedmont blues,0,2000
acoustic blues,piedmont blues,0,2001
acoustic blues,piedmont blues,0,2002
acoustic blues,piedmont blues,0,2003
acoustic blues,piedmont blues,0,2004
acoustic blues,piedmont blues,0,2005
acoustic blues,piedmont blues,0,2006
acoustic blues,piedmont blues,0,2007
acoustic blues,piedmont blues,0,2008
acoustic blues,piedmont blues,0,2009
acoustic blues,piedmont blues,0,2010
acoustic blues,piedmont blues,0,2011
acoustic blues,piedmont blues,0,2012
acoustic blues,piedmont blues,0,2013
acoustic blues,piedmont blues,0,2014
acoustic blues,piedmont blues,0,2015
acoustic blues,piedmont blues,0,2016
acoustic blues,piedmont blues,0,2017
acoustic blues,piedmont blues,0,2018
acoustic blues,piedmont blues,0,2019
acoustic blues,piedmont blues,0,2020
acoustic blues,piedmont blues,0,2021
acoustic blues,piedmont blues,0,2022
acoustic blues,piedmont blues,0,2023
acoustic blues,rhythm and blues,0,2000
acoustic blues,rhythm and blues,0,2001
acoustic blues,rhythm and blues,0,2002
acoustic blues,rhythm and blues,0,2003
acoustic blues,rhythm and blues,0,2004
acoustic blues,rhythm and blues,0,2005
acoustic blues,rhythm and blues,0,2006
acoustic blues,rhythm and blues,0,2007
acoustic blues,rhythm and blues,0,2008
